Preco_Real,Preco_Previsto
296.76,154.0
184.0,135.99
362.0,254.91
60.24,269.0
414.99,109.98
163.99,149.99
1199.06,1679.99
280.99,485.0
119.99,1230.99
3250.0,694.94
487.99,388.99
209.0,289.99
79.99,189.99
719.4,1096.99
85.99,85.97
59.99,64.99
89.99,188.44
349.0,524.99
98.68,109.99
17.5,69.99
1099.98,1868.99
139.99,195.0
232.06,264.99
719.99,998.59
407.56,236.99
6300.0,4999.99
99.99,159.0
145.99,133.89
69.99,259.13
2099.99,1199.99
109.65,125.0
745.0,392.0
613.8,1645.0
213.16,278.05
573.0,169.99
399.99,527.0
247.35,389.99
139.92,176.0
69.99,94.96
62.06,94.96
389.0,899.95
608.1,1096.99
287.82,155.0
925.0,328.5
159.99,144.0
149.0,259.98
85.26,94.96
556.19,479.99
633.03,2194.99
627.44,399.99
78.99,889.0
129.99,604.0
89.99,704.0
149.99,69.99
528.89,399.99
169.0,1999.0
254.0,612.03
69.99,74.99
59.0,102.99
68.99,225.0
142.96,135.0
63.0,108.1
268.3,225.91
190.0,89.99
749.99,859.0
2099.99,545.0
246.99,297.5
59.0,94.96
349.99,704.0
134.0,83.99
319.99,380.0
326.5,259.98
1120.31,999.0
529.99,683.99
499.0,139.99
177.2,240.0
29.99,149.9
549.99,449.99
